2025-11-17 14:58:12,801 - INFO - Starting new AI run: unnamed
2025-11-17 14:58:12,802 - INFO - Game started
2025-11-17 14:58:27,100 - INFO - AI mode activated: astar, manhattan
2025-11-17 14:58:27,103 - INFO - Mode switched to: ai
2025-11-17 14:58:27,106 - INFO - ASTAR found path: length=8, nodes_expanded=20
2025-11-17 14:58:27,201 - INFO - ASTAR found path: length=7, nodes_expanded=16
2025-11-17 14:58:27,301 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-17 14:58:27,403 - INFO - ASTAR found path: length=5, nodes_expanded=8
2025-11-17 14:58:27,503 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:27,603 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:27,704 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:27,807 - INFO - ASTAR found path: length=14, nodes_expanded=44
2025-11-17 14:58:27,907 - INFO - ASTAR found path: length=13, nodes_expanded=33
2025-11-17 14:58:28,006 - INFO - ASTAR found path: length=12, nodes_expanded=22
2025-11-17 14:58:28,106 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 14:58:28,208 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 14:58:28,308 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 14:58:28,409 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 14:58:28,509 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 14:58:28,611 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 14:58:28,710 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:28,811 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:28,912 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:29,013 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:29,117 - INFO - ASTAR found path: length=20, nodes_expanded=76
2025-11-17 14:58:29,215 - INFO - ASTAR found path: length=19, nodes_expanded=75
2025-11-17 14:58:29,315 - INFO - ASTAR found path: length=18, nodes_expanded=60
2025-11-17 14:58:29,416 - INFO - ASTAR found path: length=17, nodes_expanded=45
2025-11-17 14:58:29,517 - INFO - ASTAR found path: length=16, nodes_expanded=30
2025-11-17 14:58:29,617 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-17 14:58:29,718 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-17 14:58:29,818 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-17 14:58:29,919 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 14:58:30,020 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 14:58:30,120 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 14:58:30,220 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 14:58:30,323 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 14:58:30,423 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 14:58:30,523 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 14:58:30,623 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:30,724 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:30,824 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:30,926 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:31,026 - INFO - ASTAR found path: length=9, nodes_expanded=19
2025-11-17 14:58:31,126 - INFO - ASTAR found path: length=8, nodes_expanded=11
2025-11-17 14:58:31,226 - INFO - ASTAR found path: length=7, nodes_expanded=11
2025-11-17 14:58:31,326 - INFO - ASTAR found path: length=6, nodes_expanded=10
2025-11-17 14:58:31,426 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:31,526 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:31,626 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:31,726 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:31,828 - INFO - ASTAR found path: length=20, nodes_expanded=85
2025-11-17 14:58:31,928 - INFO - ASTAR found path: length=19, nodes_expanded=84
2025-11-17 14:58:32,031 - INFO - ASTAR found path: length=18, nodes_expanded=78
2025-11-17 14:58:32,132 - INFO - ASTAR found path: length=17, nodes_expanded=72
2025-11-17 14:58:32,232 - INFO - ASTAR found path: length=16, nodes_expanded=66
2025-11-17 14:58:32,334 - INFO - ASTAR found path: length=15, nodes_expanded=60
2025-11-17 14:58:32,435 - INFO - ASTAR found path: length=14, nodes_expanded=54
2025-11-17 14:58:32,536 - INFO - ASTAR found path: length=13, nodes_expanded=48
2025-11-17 14:58:32,637 - INFO - ASTAR found path: length=12, nodes_expanded=42
2025-11-17 14:58:32,737 - INFO - ASTAR found path: length=11, nodes_expanded=36
2025-11-17 14:58:32,837 - INFO - ASTAR found path: length=10, nodes_expanded=30
2025-11-17 14:58:32,938 - INFO - ASTAR found path: length=9, nodes_expanded=24
2025-11-17 14:58:33,038 - INFO - ASTAR found path: length=8, nodes_expanded=18
2025-11-17 14:58:33,140 - INFO - ASTAR found path: length=7, nodes_expanded=12
2025-11-17 14:58:33,241 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 14:58:33,343 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:33,443 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:33,544 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:33,645 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:33,746 - INFO - ASTAR found path: length=8, nodes_expanded=13
2025-11-17 14:58:33,846 - INFO - ASTAR found path: length=7, nodes_expanded=12
2025-11-17 14:58:33,947 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 14:58:34,049 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:34,149 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:34,249 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 14:58:34,350 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 14:58:34,452 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-17 14:58:34,553 - INFO - ASTAR found path: length=9, nodes_expanded=16
2025-11-17 14:58:34,653 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 14:58:34,754 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 14:58:34,856 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 14:58:34,956 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 14:58:35,056 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 14:58:35,157 - INFO - ASTAR found path: length=3, nodes_expanded=3
