2025-11-17 20:52:22,541 - INFO - Starting new AI run: unnamed
2025-11-17 20:52:22,541 - INFO - Game started
2025-11-17 20:52:27,681 - INFO - AI mode activated: astar, manhattan
2025-11-17 20:52:27,683 - INFO - Mode switched to: ai
2025-11-17 20:52:27,687 - INFO - ASTAR found path: length=13, nodes_expanded=49
2025-11-17 20:52:27,780 - INFO - ASTAR found path: length=12, nodes_expanded=42
2025-11-17 20:52:27,882 - INFO - ASTAR found path: length=11, nodes_expanded=35
2025-11-17 20:52:27,981 - INFO - ASTAR found path: length=10, nodes_expanded=28
2025-11-17 20:52:28,081 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-17 20:52:28,181 - INFO - ASTAR found path: length=8, nodes_expanded=14
2025-11-17 20:52:28,283 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 20:52:28,384 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 20:52:28,485 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 20:52:28,586 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 20:52:28,685 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 20:52:28,786 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 20:52:28,888 - INFO - ASTAR found path: length=24, nodes_expanded=136
2025-11-17 20:52:28,988 - INFO - ASTAR found path: length=23, nodes_expanded=135
2025-11-17 20:52:29,091 - INFO - ASTAR found path: length=22, nodes_expanded=126
2025-11-17 20:52:29,189 - INFO - ASTAR found path: length=21, nodes_expanded=117
2025-11-17 20:52:29,289 - INFO - ASTAR found path: length=20, nodes_expanded=108
2025-11-17 20:52:29,390 - INFO - ASTAR found path: length=19, nodes_expanded=99
2025-11-17 20:52:29,491 - INFO - ASTAR found path: length=18, nodes_expanded=90
2025-11-17 20:52:29,590 - INFO - ASTAR found path: length=17, nodes_expanded=81
2025-11-17 20:52:29,691 - INFO - ASTAR found path: length=16, nodes_expanded=72
2025-11-17 20:52:29,791 - INFO - ASTAR found path: length=15, nodes_expanded=63
2025-11-17 20:52:29,891 - INFO - ASTAR found path: length=14, nodes_expanded=54
2025-11-17 20:52:29,991 - INFO - ASTAR found path: length=13, nodes_expanded=45
2025-11-17 20:52:30,092 - INFO - ASTAR found path: length=12, nodes_expanded=36
2025-11-17 20:52:30,193 - INFO - ASTAR found path: length=11, nodes_expanded=27
2025-11-17 20:52:30,295 - INFO - ASTAR found path: length=10, nodes_expanded=18
