2025-11-25 14:51:51,541 - INFO - Starting new AI run: unnamed
2025-11-25 14:51:51,542 - INFO - Game controller initialized
2025-11-25 14:51:51,542 - INFO - Game started
2025-11-25 14:52:08,193 - INFO - Starting game in human mode
2025-11-25 14:52:26,467 - INFO - Starting game in astar mode
2025-11-25 14:52:29,207 - INFO - ASTAR found path: length=28, nodes_expanded=168
2025-11-25 14:52:29,244 - INFO - ASTAR found path: length=27, nodes_expanded=147
2025-11-25 14:52:29,282 - INFO - ASTAR found path: length=26, nodes_expanded=126
2025-11-25 14:52:29,320 - INFO - ASTAR found path: length=25, nodes_expanded=105
2025-11-25 14:52:29,358 - INFO - ASTAR found path: length=24, nodes_expanded=84
2025-11-25 14:52:29,395 - INFO - ASTAR found path: length=23, nodes_expanded=63
2025-11-25 14:52:29,433 - INFO - ASTAR found path: length=22, nodes_expanded=42
2025-11-25 14:52:29,471 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:52:29,509 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:52:29,547 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:52:29,585 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:52:29,623 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:52:29,660 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:52:29,697 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:52:29,734 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:52:29,772 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:52:29,809 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:52:29,847 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:52:29,884 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:52:29,921 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:52:29,958 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:29,995 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:30,032 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:30,070 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:30,107 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:30,144 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:30,181 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:30,218 - INFO - ASTAR found path: length=12, nodes_expanded=36
2025-11-25 14:52:30,255 - INFO - ASTAR found path: length=11, nodes_expanded=32
2025-11-25 14:52:30,293 - INFO - ASTAR found path: length=10, nodes_expanded=28
2025-11-25 14:52:30,330 - INFO - ASTAR found path: length=9, nodes_expanded=24
2025-11-25 14:52:30,367 - INFO - ASTAR found path: length=8, nodes_expanded=20
2025-11-25 14:52:30,405 - INFO - ASTAR found path: length=7, nodes_expanded=16
2025-11-25 14:52:30,442 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-25 14:52:30,480 - INFO - ASTAR found path: length=5, nodes_expanded=8
2025-11-25 14:52:30,518 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:30,555 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:30,594 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:30,632 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:30,669 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:30,708 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:30,745 - INFO - ASTAR found path: length=30, nodes_expanded=113
2025-11-25 14:52:30,782 - INFO - ASTAR found path: length=27, nodes_expanded=88
2025-11-25 14:52:30,820 - INFO - ASTAR found path: length=26, nodes_expanded=87
2025-11-25 14:52:30,857 - INFO - ASTAR found path: length=25, nodes_expanded=87
2025-11-25 14:52:30,894 - INFO - ASTAR found path: length=24, nodes_expanded=66
2025-11-25 14:52:30,931 - INFO - ASTAR found path: length=23, nodes_expanded=44
2025-11-25 14:52:30,968 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:52:31,007 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:52:31,045 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:52:31,082 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:52:31,119 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:52:31,157 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:52:31,195 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:52:31,232 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:52:31,270 - INFO - ASTAR found path: length=14, nodes_expanded=14
