2025-11-17 20:07:38,632 - INFO - Starting new AI run: unnamed
2025-11-17 20:07:38,632 - INFO - Game started
2025-11-17 20:07:41,750 - INFO - AI mode activated: astar, manhattan
2025-11-17 20:07:41,751 - INFO - Mode switched to: ai
2025-11-17 20:07:41,753 - INFO - ASTAR found path: length=10, nodes_expanded=30
2025-11-17 20:07:41,849 - INFO - ASTAR found path: length=9, nodes_expanded=25
2025-11-17 20:07:41,950 - INFO - ASTAR found path: length=8, nodes_expanded=20
2025-11-17 20:07:42,050 - INFO - ASTAR found path: length=7, nodes_expanded=15
2025-11-17 20:07:42,153 - INFO - ASTAR found path: length=6, nodes_expanded=10
2025-11-17 20:07:42,253 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 20:07:42,354 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 20:07:42,454 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 20:07:42,554 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 20:07:42,654 - INFO - ASTAR found path: length=14, nodes_expanded=25
2025-11-17 20:07:42,755 - INFO - ASTAR found path: length=13, nodes_expanded=24
2025-11-17 20:07:42,856 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 20:07:42,956 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 20:07:43,058 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 20:07:43,160 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 20:07:43,263 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 20:07:43,364 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 20:07:43,464 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 20:07:43,564 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 20:07:43,664 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 20:07:43,764 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 20:07:43,864 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 20:07:43,964 - INFO - ASTAR found path: length=14, nodes_expanded=25
2025-11-17 20:07:44,066 - INFO - ASTAR found path: length=13, nodes_expanded=24
2025-11-17 20:07:44,166 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 20:07:44,267 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 20:07:44,368 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 20:07:44,468 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 20:07:44,569 - INFO - Speed adjusted to: 11 FPS
2025-11-17 20:07:44,571 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 20:07:44,658 - INFO - Speed adjusted to: 12 FPS
2025-11-17 20:07:44,660 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 20:07:44,743 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 20:07:44,827 - INFO - Speed adjusted to: 13 FPS
2025-11-17 20:07:44,828 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 20:07:44,903 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 20:07:44,980 - INFO - Speed adjusted to: 14 FPS
2025-11-17 20:07:44,980 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 20:07:45,051 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 20:07:45,122 - INFO - ASTAR found path: length=17, nodes_expanded=31
2025-11-17 20:07:45,194 - INFO - ASTAR found path: length=16, nodes_expanded=30
2025-11-17 20:07:45,266 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-17 20:07:45,338 - INFO - Speed adjusted to: 15 FPS
2025-11-17 20:07:45,340 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-17 20:07:45,404 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-17 20:07:45,472 - INFO - Speed adjusted to: 16 FPS
2025-11-17 20:07:45,474 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 20:07:45,534 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 20:07:45,597 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 20:07:45,660 - INFO - Speed adjusted to: 17 FPS
2025-11-17 20:07:45,663 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 20:07:45,718 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 20:07:45,777 - INFO - Speed adjusted to: 18 FPS
2025-11-17 20:07:45,778 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 20:07:45,833 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 20:07:45,888 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 20:07:45,944 - INFO - Speed adjusted to: 19 FPS
2025-11-17 20:07:45,946 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 20:07:45,995 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 20:07:46,048 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 20:07:46,101 - INFO - ASTAR found path: length=8, nodes_expanded=17
2025-11-17 20:07:46,153 - INFO - ASTAR found path: length=7, nodes_expanded=16
2025-11-17 20:07:46,205 - INFO - Speed adjusted to: 18 FPS
2025-11-17 20:07:46,206 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-17 20:07:46,261 - INFO - ASTAR found path: length=5, nodes_expanded=8
