2025-11-17 06:45:15,375 - INFO - Starting new AI run: unnamed
2025-11-17 06:45:15,375 - INFO - Game started
2025-11-17 06:45:24,437 - INFO - AI mode activated: astar, manhattan
2025-11-17 06:45:24,438 - INFO - Mode switched to: ai
2025-11-17 06:45:24,438 - INFO - ASTAR found path: length=14, nodes_expanded=36
2025-11-17 06:45:24,537 - INFO - ASTAR found path: length=13, nodes_expanded=24
2025-11-17 06:45:24,638 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 06:45:24,739 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 06:45:24,838 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 06:45:24,938 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 06:45:25,038 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 06:45:25,140 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 06:45:25,241 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:25,342 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:25,442 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:25,543 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:25,645 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:25,748 - INFO - ASTAR found path: length=21, nodes_expanded=91
2025-11-17 06:45:25,848 - INFO - ASTAR found path: length=20, nodes_expanded=90
2025-11-17 06:45:25,947 - INFO - ASTAR found path: length=19, nodes_expanded=75
2025-11-17 06:45:26,049 - INFO - ASTAR found path: length=18, nodes_expanded=60
2025-11-17 06:45:26,151 - INFO - ASTAR found path: length=17, nodes_expanded=45
2025-11-17 06:45:26,251 - INFO - ASTAR found path: length=16, nodes_expanded=30
2025-11-17 06:45:26,352 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-17 06:45:26,453 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-17 06:45:26,553 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-17 06:45:26,653 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-17 06:45:26,754 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 06:45:26,855 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 06:45:26,954 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 06:45:27,055 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 06:45:27,154 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 06:45:27,256 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:27,356 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:27,457 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:27,558 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:27,658 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:27,759 - INFO - ASTAR found path: length=11, nodes_expanded=29
2025-11-17 06:45:27,860 - INFO - ASTAR found path: length=10, nodes_expanded=28
2025-11-17 06:45:27,961 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-17 06:45:28,062 - INFO - Speed adjusted to: 11 FPS
2025-11-17 06:45:28,065 - INFO - ASTAR found path: length=8, nodes_expanded=14
2025-11-17 06:45:28,151 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 06:45:28,243 - INFO - Speed adjusted to: 12 FPS
2025-11-17 06:45:28,245 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:28,325 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:28,409 - INFO - Speed adjusted to: 13 FPS
2025-11-17 06:45:28,410 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:28,484 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:28,561 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:28,637 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 06:45:28,713 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 06:45:28,790 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:28,866 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:28,942 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:29,019 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:29,095 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:29,174 - INFO - ASTAR found path: length=12, nodes_expanded=33
2025-11-17 06:45:29,249 - INFO - ASTAR found path: length=11, nodes_expanded=32
2025-11-17 06:45:29,325 - INFO - ASTAR found path: length=10, nodes_expanded=28
2025-11-17 06:45:29,402 - INFO - ASTAR found path: length=9, nodes_expanded=24
2025-11-17 06:45:29,477 - INFO - ASTAR found path: length=8, nodes_expanded=20
2025-11-17 06:45:29,555 - INFO - ASTAR found path: length=7, nodes_expanded=16
2025-11-17 06:45:29,632 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-17 06:45:29,708 - INFO - ASTAR found path: length=5, nodes_expanded=8
2025-11-17 06:45:29,784 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:29,860 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:29,936 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:30,015 - INFO - ASTAR found path: length=15, nodes_expanded=49
2025-11-17 06:45:30,090 - INFO - ASTAR found path: length=14, nodes_expanded=51
2025-11-17 06:45:30,167 - INFO - ASTAR found path: length=13, nodes_expanded=48
2025-11-17 06:45:30,243 - INFO - ASTAR found path: length=12, nodes_expanded=42
2025-11-17 06:45:30,321 - INFO - ASTAR found path: length=11, nodes_expanded=36
2025-11-17 06:45:30,398 - INFO - ASTAR found path: length=10, nodes_expanded=30
2025-11-17 06:45:30,474 - INFO - ASTAR found path: length=9, nodes_expanded=24
2025-11-17 06:45:30,550 - INFO - ASTAR found path: length=8, nodes_expanded=18
2025-11-17 06:45:30,626 - INFO - ASTAR found path: length=7, nodes_expanded=12
2025-11-17 06:45:30,702 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:30,778 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:30,856 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:30,932 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:31,009 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:31,087 - INFO - ASTAR found path: length=25, nodes_expanded=149
2025-11-17 06:45:31,163 - INFO - ASTAR found path: length=24, nodes_expanded=154
2025-11-17 06:45:31,240 - INFO - ASTAR found path: length=23, nodes_expanded=143
2025-11-17 06:45:31,316 - INFO - ASTAR found path: length=22, nodes_expanded=132
2025-11-17 06:45:31,392 - INFO - ASTAR found path: length=21, nodes_expanded=121
2025-11-17 06:45:31,472 - INFO - ASTAR found path: length=20, nodes_expanded=110
2025-11-17 06:45:31,546 - INFO - ASTAR found path: length=19, nodes_expanded=99
2025-11-17 06:45:31,625 - INFO - ASTAR found path: length=18, nodes_expanded=88
2025-11-17 06:45:31,700 - INFO - ASTAR found path: length=17, nodes_expanded=77
2025-11-17 06:45:31,777 - INFO - ASTAR found path: length=16, nodes_expanded=66
2025-11-17 06:45:31,851 - INFO - ASTAR found path: length=15, nodes_expanded=55
2025-11-17 06:45:31,928 - INFO - ASTAR found path: length=14, nodes_expanded=44
2025-11-17 06:45:32,005 - INFO - ASTAR found path: length=13, nodes_expanded=33
2025-11-17 06:45:32,080 - INFO - ASTAR found path: length=12, nodes_expanded=22
2025-11-17 06:45:32,159 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-17 06:45:32,235 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 06:45:32,312 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-17 06:45:32,388 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-17 06:45:32,465 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-17 06:45:32,541 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-17 06:45:32,618 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-17 06:45:32,694 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-17 06:45:32,772 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-17 06:45:32,848 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-17 06:45:32,925 - INFO - ASTAR found path: length=13, nodes_expanded=31
2025-11-17 06:45:33,001 - INFO - ASTAR found path: length=12, nodes_expanded=30
2025-11-17 06:45:33,076 - INFO - ASTAR found path: length=11, nodes_expanded=20
2025-11-17 06:45:33,154 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-17 06:45:33,231 - INFO - ASTAR found path: length=9, nodes_expanded=9
