2025-11-21 15:10:54,059 - INFO - Starting new AI run: unnamed
2025-11-21 15:10:54,060 - INFO - Game controller initialized
2025-11-21 15:10:54,060 - INFO - Game started
2025-11-21 15:11:10,820 - INFO - Starting game in astar mode
2025-11-21 15:11:10,871 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-21 15:11:10,921 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-21 15:11:10,972 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-21 15:11:11,022 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-21 15:11:11,073 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-21 15:11:11,123 - INFO - ASTAR found path: length=16, nodes_expanded=40
2025-11-21 15:11:11,175 - INFO - ASTAR found path: length=15, nodes_expanded=39
2025-11-21 15:11:11,226 - INFO - ASTAR found path: length=14, nodes_expanded=36
2025-11-21 15:11:11,276 - INFO - ASTAR found path: length=13, nodes_expanded=33
2025-11-21 15:11:11,328 - INFO - ASTAR found path: length=12, nodes_expanded=30
2025-11-21 15:11:11,378 - INFO - ASTAR found path: length=11, nodes_expanded=27
2025-11-21 15:11:11,428 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-21 15:11:11,479 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-21 15:11:11,529 - INFO - ASTAR found path: length=8, nodes_expanded=18
2025-11-21 15:11:11,579 - INFO - ASTAR found path: length=7, nodes_expanded=15
2025-11-21 15:11:11,629 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-21 15:11:11,679 - INFO - ASTAR found path: length=5, nodes_expanded=9
2025-11-21 15:11:11,730 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-21 15:11:11,780 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-21 15:11:11,831 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-21 15:11:11,881 - INFO - ASTAR found path: length=13, nodes_expanded=33
2025-11-21 15:11:11,932 - INFO - ASTAR found path: length=12, nodes_expanded=30
2025-11-21 15:11:11,982 - INFO - ASTAR found path: length=11, nodes_expanded=27
2025-11-21 15:11:12,033 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-21 15:11:12,083 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-21 15:11:12,133 - INFO - ASTAR found path: length=8, nodes_expanded=18
2025-11-21 15:11:12,183 - INFO - ASTAR found path: length=7, nodes_expanded=15
2025-11-21 15:11:12,234 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-21 15:11:12,285 - INFO - ASTAR found path: length=5, nodes_expanded=9
2025-11-21 15:11:12,336 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-21 15:11:12,387 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-21 15:11:12,437 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-21 15:11:12,488 - INFO - ASTAR found path: length=27, nodes_expanded=87
2025-11-21 15:11:12,538 - INFO - ASTAR found path: length=26, nodes_expanded=104
2025-11-21 15:11:12,588 - INFO - ASTAR found path: length=25, nodes_expanded=120
