2025-11-16 14:35:43,175 - INFO - Starting new AI run: unnamed
2025-11-16 14:35:43,175 - INFO - Game started
2025-11-16 14:35:48,308 - INFO - AI mode activated: astar, manhattan
2025-11-16 14:35:48,308 - INFO - Mode switched to: ai
2025-11-16 14:35:48,309 - INFO - ASTAR found path: length=22, nodes_expanded=126
2025-11-16 14:35:48,409 - INFO - ASTAR found path: length=21, nodes_expanded=112
2025-11-16 14:35:48,508 - INFO - ASTAR found path: length=20, nodes_expanded=98
2025-11-16 14:35:48,608 - INFO - ASTAR found path: length=19, nodes_expanded=84
2025-11-16 14:35:48,708 - INFO - ASTAR found path: length=18, nodes_expanded=70
2025-11-16 14:35:48,809 - INFO - ASTAR found path: length=17, nodes_expanded=56
2025-11-16 14:35:48,910 - INFO - ASTAR found path: length=16, nodes_expanded=42
2025-11-16 14:35:49,011 - INFO - ASTAR found path: length=15, nodes_expanded=28
2025-11-16 14:35:49,112 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-16 14:35:49,212 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-16 14:35:49,313 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-16 14:35:49,413 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-16 14:35:49,514 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-16 14:35:49,615 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-16 14:35:49,715 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-16 14:35:49,815 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-16 14:35:49,916 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-16 14:35:50,017 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-16 14:35:50,118 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-16 14:35:50,219 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-16 14:35:50,320 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-16 14:35:50,421 - INFO - ASTAR found path: length=18, nodes_expanded=81
2025-11-16 14:35:50,521 - INFO - ASTAR found path: length=17, nodes_expanded=80
2025-11-16 14:35:50,622 - INFO - ASTAR found path: length=16, nodes_expanded=70
2025-11-16 14:35:50,722 - INFO - ASTAR found path: length=15, nodes_expanded=60
2025-11-16 14:35:50,823 - INFO - ASTAR found path: length=14, nodes_expanded=50
2025-11-16 14:35:50,924 - INFO - ASTAR found path: length=13, nodes_expanded=40
2025-11-16 14:35:51,024 - INFO - ASTAR found path: length=12, nodes_expanded=30
2025-11-16 14:35:51,126 - INFO - ASTAR found path: length=11, nodes_expanded=20
2025-11-16 14:35:51,226 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-16 14:35:51,326 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-16 14:35:51,426 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-16 14:35:51,526 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-16 14:35:51,626 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-16 14:35:51,726 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-16 14:35:51,827 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-16 14:35:51,929 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-16 14:35:52,030 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-16 14:35:52,131 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-16 14:35:52,232 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-16 14:35:52,333 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-16 14:35:52,434 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-16 14:35:52,535 - INFO - Speed adjusted to: 11 FPS
2025-11-16 14:35:52,535 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-16 14:35:52,625 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-16 14:35:52,715 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-16 14:35:52,805 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-16 14:35:52,895 - INFO - ASTAR found path: length=13, nodes_expanded=31
2025-11-16 14:35:52,986 - INFO - ASTAR found path: length=12, nodes_expanded=30
2025-11-16 14:35:53,076 - INFO - ASTAR found path: length=11, nodes_expanded=27
2025-11-16 14:35:53,167 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-16 14:35:53,258 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-16 14:35:53,349 - INFO - ASTAR found path: length=8, nodes_expanded=18
2025-11-16 14:35:53,441 - INFO - ASTAR found path: length=7, nodes_expanded=15
2025-11-16 14:35:53,532 - INFO - ASTAR found path: length=6, nodes_expanded=12
