2025-11-25 14:25:06,839 - INFO - Starting new AI run: unnamed
2025-11-25 14:25:06,839 - INFO - Game controller initialized
2025-11-25 14:25:06,839 - INFO - Game started
2025-11-25 14:25:27,300 - INFO - Starting game in astar mode
2025-11-25 14:25:30,076 - INFO - ASTAR found path: length=27, nodes_expanded=27
2025-11-25 14:25:30,113 - INFO - ASTAR found path: length=26, nodes_expanded=26
2025-11-25 14:25:30,151 - INFO - ASTAR found path: length=25, nodes_expanded=25
2025-11-25 14:25:30,188 - INFO - ASTAR found path: length=24, nodes_expanded=24
2025-11-25 14:25:30,226 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:30,263 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:30,301 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:30,338 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:30,375 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:30,414 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:30,452 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:30,490 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:30,527 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:30,565 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:30,604 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:30,641 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:30,679 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:30,716 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:30,754 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:30,791 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:30,828 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:30,866 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:30,903 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:30,940 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:30,977 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:31,016 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:31,054 - INFO - ASTAR found path: length=32, nodes_expanded=61
2025-11-25 14:25:31,091 - INFO - ASTAR found path: length=31, nodes_expanded=60
2025-11-25 14:25:31,129 - INFO - ASTAR found path: length=30, nodes_expanded=30
2025-11-25 14:25:31,167 - INFO - ASTAR found path: length=29, nodes_expanded=29
2025-11-25 14:25:31,205 - INFO - ASTAR found path: length=28, nodes_expanded=28
2025-11-25 14:25:31,242 - INFO - ASTAR found path: length=27, nodes_expanded=27
2025-11-25 14:25:31,279 - INFO - ASTAR found path: length=26, nodes_expanded=26
2025-11-25 14:25:31,316 - INFO - ASTAR found path: length=25, nodes_expanded=25
2025-11-25 14:25:31,354 - INFO - ASTAR found path: length=24, nodes_expanded=24
2025-11-25 14:25:31,391 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:31,428 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:31,466 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:31,503 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:31,541 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:31,579 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:31,617 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:31,654 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:31,691 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:31,729 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:31,767 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:31,803 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:31,841 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:31,880 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:31,917 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:31,953 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:31,992 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:32,030 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:32,067 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:32,105 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:32,142 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:32,180 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:32,217 - INFO - ASTAR found path: length=4, nodes_expanded=5
2025-11-25 14:25:32,256 - INFO - ASTAR found path: length=3, nodes_expanded=4
2025-11-25 14:25:32,293 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:32,332 - INFO - ASTAR found path: length=27, nodes_expanded=115
2025-11-25 14:25:32,370 - INFO - ASTAR found path: length=26, nodes_expanded=92
2025-11-25 14:25:32,408 - INFO - ASTAR found path: length=25, nodes_expanded=69
2025-11-25 14:25:32,444 - INFO - ASTAR found path: length=24, nodes_expanded=46
2025-11-25 14:25:32,483 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:32,520 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:32,557 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:32,594 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:32,632 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:32,669 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:32,707 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:32,746 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:32,783 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:32,820 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:32,858 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:32,896 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:32,934 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:32,971 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:33,008 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:33,045 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:33,081 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:33,120 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:33,158 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:33,196 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:33,233 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:33,271 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:33,308 - INFO - ASTAR found path: length=15, nodes_expanded=63
2025-11-25 14:25:33,345 - INFO - ASTAR found path: length=14, nodes_expanded=56
2025-11-25 14:25:33,383 - INFO - ASTAR found path: length=13, nodes_expanded=49
2025-11-25 14:25:33,420 - INFO - ASTAR found path: length=12, nodes_expanded=42
2025-11-25 14:25:33,456 - INFO - ASTAR found path: length=11, nodes_expanded=35
2025-11-25 14:25:33,494 - INFO - ASTAR found path: length=10, nodes_expanded=28
2025-11-25 14:25:33,532 - INFO - ASTAR found path: length=9, nodes_expanded=21
2025-11-25 14:25:33,570 - INFO - ASTAR found path: length=8, nodes_expanded=14
2025-11-25 14:25:33,608 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:33,645 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:33,682 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:33,720 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:33,757 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:33,796 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:33,833 - INFO - ASTAR found path: length=24, nodes_expanded=24
2025-11-25 14:25:33,870 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:33,907 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:33,944 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:33,982 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:34,020 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:34,058 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:34,094 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:34,132 - INFO - ASTAR found path: length=16, nodes_expanded=16
